V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,0,20,15,31,6,6,1,82.51644897460938,125.43461608886719,1.9211970567703247
-98,12,-5,32,11,28,7,7,1,123.01094818115234,126.00366973876953,101.8041763305664
-98,12,-5,35,10,1,5,5,1,123.32930755615234,125.57916259765625,100.14945220947266
-98,12,-5,20,14,22,6,7,1,88.3013916015625,116.94768524169922,1.738581657409668
-98,12,-5,20,12,1,7,5,1,85.90987396240234,118.29710388183594,1.4602227210998535
-98,12,0,20,10,22,6,6,2,77.50765991210938,127.3851547241211,1.865541934967041
-98,12,-5,29,15,22,6,7,2,111.31161499023438,124.67095184326172,179.2881622314453
-98,12,0,26,14,1,7,7,2,97.3366470336914,127.72681427001953,0.8830691576004028
-98,12,0,20,11,28,6,6,1,80.91554260253906,126.29022216796875,2.0057530403137207
-98,12,0,26,12,19,6,5,2,101.48483276367188,125.59229278564453,0.4054635763168335
-98,12,0,20,10,19,6,7,2,81.5804443359375,125.42597198486328,1.6294522285461426
-98,12,-5,32,15,31,7,7,2,123.45018768310547,124.28853607177734,145.2486572265625
-98,12,-5,29,12,28,5,7,2,111.99398040771484,124.5022201538086,178.8614501953125
-98,12,-5,35,14,10,7,6,1,111.50382995605469,122.35807800292969,95.16871643066406
-98,12,0,20,13,16,5,6,1,82.4768295288086,124.56243133544922,2.165956497192383
-98,12,0,23,14,16,5,6,1,82.03192138671875,138.1267547607422,0.55722576379776
-98,12,0,20,15,10,7,6,1,84.91085052490234,122.86534118652344,2.307182550430298
-98,12,-5,26,11,28,6,5,1,108.22747802734375,123.76405334472656,178.47808837890625
-98,12,-5,26,14,22,5,6,1,109.17710876464844,123.3888931274414,177.6281280517578
-98,12,-5,23,13,16,7,5,1,81.00415802001953,133.8134002685547,1.8300296068191528
-98,12,-5,35,13,4,7,7,1,111.22398376464844,122.68545532226562,94.76532745361328
-98,12,-5,29,15,31,7,6,2,111.2851791381836,124.66199493408203,178.42242431640625
-98,12,-5,35,14,28,7,5,1,111.38668823242188,121.55915832519531,94.5828628540039
-98,12,-5,23,15,7,5,6,1,75.1874771118164,136.6523895263672,1.8764528036117554
-98,12,0,29,12,4,7,6,2,112.50442504882812,125.2610855102539,0.0402553528547287
-98,12,-5,35,12,22,6,5,1,110.71129608154297,124.15513610839844,93.40410614013672
-98,12,-5,26,15,1,5,7,1,113.44985961914062,121.11419677734375,174.9659423828125
-98,12,0,29,11,7,5,7,2,112.1551742553711,125.34953308105469,179.6576690673828
-98,12,0,20,11,25,5,6,1,79.92071533203125,126.10147857666016,1.7902055978775024
-98,12,0,20,13,22,6,6,1,79.51057434082031,127.51101684570312,1.6175339221954346
-98,12,0,32,15,13,7,7,1,123.53483581542969,125.3105239868164,101.11658477783203
-98,12,0,32,13,28,5,7,1,123.61204528808594,126.52327728271484,95.85989379882812
-98,12,0,26,14,31,7,7,2,104.57242584228516,122.93710327148438,178.72836303710938
-98,12,-5,23,13,1,5,7,1,79.75228881835938,135.51821899414062,1.942116618156433
-98,12,-5,26,12,28,7,7,1,101.26588439941406,129.6348876953125,3.26596999168396
-98,12,0,23,11,22,5,5,1,93.56607818603516,129.85984802246094,1.91281259059906
-98,12,-5,23,13,13,5,7,1,77.18379211425781,137.0291290283203,1.6893107891082764
-98,12,-5,29,13,31,5,5,2,111.38017272949219,124.30194854736328,178.60003662109375
-98,12,-5,26,15,25,6,6,2,97.7576675415039,126.28974914550781,0.6781073212623596
-98,12,-5,26,15,28,7,5,1,106.10955047607422,128.49293518066406,0.5525856614112854
-98,12,0,29,13,22,6,6,3,111.94764709472656,125.18566131591797,0.521228015422821
-98,12,0,29,14,28,6,6,2,111.71788024902344,125.4381332397461,0.005605616141110659
-98,12,-5,29,12,10,6,7,2,111.1877212524414,124.72740173339844,0.0760340765118599
-98,12,-5,20,11,25,5,6,1,99.3271484375,106.48113250732422,178.82077026367188
-98,12,0,35,14,16,7,5,1,110.30872344970703,124.963623046875,93.33512115478516
-98,12,-5,29,13,22,7,5,2,111.39105987548828,134.38853454589844,93.20220184326172
-98,12,0,20,13,10,5,7,1,85.25606536865234,123.28828430175781,2.7405519485473633
-98,12,0,32,12,25,7,5,1,123.73058319091797,126.06066131591797,97.70714569091797
-98,12,-5,20,10,19,5,7,1,99.2662124633789,106.1581039428711,178.03115844726562
-98,12,0,29,14,13,5,6,2,111.09327697753906,125.1468276977539,179.88140869140625
-98,12,0,26,11,22,7,6,2,100.39570617675781,125.92875671386719,179.5298614501953
-98,12,-5,23,12,31,6,6,1,79.76184844970703,135.95106506347656,1.5647374391555786
-98,12,-5,23,11,25,5,6,1,81.14045715332031,133.7248992919922,1.735475778579712
-98,12,-5,23,11,22,7,7,1,81.60134887695312,133.30686950683594,1.6295198202133179
-98,12,-5,35,14,25,5,5,1,110.98944091796875,123.61869812011719,93.3469467163086
-98,12,-5,29,13,13,5,7,2,111.29894256591797,124.42640686035156,178.22486877441406
-98,12,-5,26,11,22,6,6,1,112.00007629394531,121.38851928710938,175.99603271484375
-98,12,0,26,15,31,7,6,2,100.22512817382812,126.45379638671875,0.8010393977165222
-98,12,0,35,15,28,7,5,1,111.14431762695312,123.712646484375,93.99878692626953
-98,12,0,32,12,16,5,7,1,124.00642395019531,125.66712188720703,100.1611557006836
-98,12,0,26,10,22,6,6,2,102.68839263916016,124.9172592163086,179.5775909423828
-98,12,-5,20,10,10,6,7,1,94.14476776123047,110.52338409423828,0.4885624647140503
-98,12,-5,32,14,4,5,5,1,123.70893096923828,125.62266540527344,101.69459533691406
-98,12,0,29,11,16,5,6,1,111.93071746826172,125.57249450683594,178.77442932128906
-98,12,-5,32,11,22,5,6,1,123.58165740966797,125.37470245361328,105.9185791015625
-98,12,-5,20,15,10,6,7,1,85.63050079345703,118.99773406982422,1.386715054512024
-98,12,-5,29,10,4,6,6,2,111.96202087402344,124.67654418945312,179.58255004882812
-98,12,0,32,14,1,6,7,1,122.99491882324219,127.8860092163086,93.33636474609375
-98,12,-5,32,13,31,7,7,2,123.53260803222656,124.52820587158203,146.99937438964844
-98,12,-5,35,13,13,5,5,1,111.15816497802734,123.77774047851562,93.94630432128906
-98,12,-5,20,11,7,6,7,1,89.00820922851562,115.41929626464844,0.629534125328064
-98,12,0,26,15,7,5,5,2,104.23004150390625,123.84117126464844,178.02415466308594
-98,12,0,35,15,13,5,6,1,110.22525024414062,125.8974838256836,92.19254302978516
-98,12,0,35,14,31,6,7,1,109.98161315917969,127.05613708496094,92.55775451660156
-98,12,-5,32,15,16,7,6,2,123.42186737060547,124.85176086425781,111.23759460449219
-98,12,-5,32,11,28,6,5,1,123.7331314086914,125.33431243896484,106.58403015136719
-98,12,0,32,10,1,7,7,2,122.63689422607422,128.4574432373047,94.9306640625
-98,12,0,35,13,28,7,6,1,110.31078338623047,125.05548858642578,92.90519714355469
-98,12,0,20,13,25,5,5,1,81.05201721191406,126.11306762695312,2.223932981491089
-98,12,0,20,14,25,5,7,1,83.47322082519531,124.22833251953125,2.6034672260284424
-98,12,0,20,14,4,7,5,1,85.9271011352539,121.61326599121094,1.6454393863677979
-98,12,0,23,13,28,6,6,1,89.29325103759766,131.5118865966797,1.7968072891235352
-98,12,-5,35,13,19,6,7,2,111.01160430908203,124.19537353515625,93.94876861572266
-98,12,0,32,11,1,7,6,2,123.4450912475586,126.27320098876953,100.80753326416016
-98,12,0,20,14,28,5,6,1,82.67495727539062,124.75137329101562,2.376258611679077
-98,12,-5,29,12,4,5,6,2,111.49358367919922,124.38589477539062,179.9591522216797
-98,12,-5,26,13,22,6,7,2,100.79428100585938,124.79496002197266,179.00979614257812
-98,12,-5,32,10,22,6,7,1,123.50463104248047,126.14520263671875,98.69735717773438
-98,12,0,23,11,28,7,6,1,85.91233825683594,134.0172576904297,3.4616596698760986
-98,12,0,35,15,25,7,6,1,110.03965759277344,125.90921020507812,92.59788513183594
-98,12,-5,23,12,10,7,7,1,79.55384063720703,135.15074157714844,2.0863101482391357
-98,12,-5,35,13,22,7,5,2,111.40829467773438,122.4859848022461,94.05060577392578
-98,12,-5,20,11,1,5,6,1,100.27294158935547,104.89392852783203,176.7831573486328
-98,12,0,32,10,31,5,5,1,122.81230163574219,127.82815551757812,94.91578674316406
-98,12,0,20,13,13,6,5,1,82.10322570800781,125.2022705078125,2.0118792057037354
-98,12,0,32,13,10,6,5,1,123.7154541015625,126.59861755371094,96.72177124023438
-98,12,0,26,12,19,5,5,2,101.4560317993164,125.58683013916016,0.6399663686752319
-98,12,0,20,11,19,7,7,1,94.53605651855469,117.15087890625,4.744528770446777
-98,12,-5,32,13,13,5,5,1,123.77185821533203,124.95805358886719,101.81266784667969
-98,12,0,26,15,28,7,6,2,99.16654205322266,126.74224090576172,0.5575845837593079
-98,12,0,29,12,25,5,5,1,110.43956756591797,125.16455841064453,0.07224864512681961
-98,12,0,20,13,1,5,7,1,81.96444702148438,124.65097045898438,2.3050005435943604
-98,12,-5,35,12,16,6,7,2,110.63606262207031,124.36620330810547,93.26648712158203
-98,12,0,20,13,13,7,7,1,83.39830017089844,123.77046203613281,2.2064037322998047
-98,12,-5,35,12,19,5,7,1,111.0201187133789,123.3362045288086,94.19659423828125
-98,12,0,32,13,7,7,5,1,123.85379028320312,124.87755584716797,103.7686767578125
-98,12,0,26,13,7,6,5,2,104.39029693603516,123.73482513427734,179.49319458007812
-98,12,-5,32,14,7,7,5,1,123.438232421875,124.45162200927734,128.0779571533203
-98,12,-5,26,13,13,6,7,1,97.81673431396484,114.04317474365234,97.5765151977539
